point_id_yr,column,action,original_value,new_value
GOK_000_2021,ndvi_annual_std,filled_zero_single_obs,NaN,0.0
GOK_000_2022,ndvi_annual_std,filled_zero_single_obs,NaN,0.0
GOK_000_2023,ndvi_annual_std,filled_zero_single_obs,NaN,0.0
GOK_001_2019,ndvi_annual_std,filled_zero_single_obs,NaN,0.0
GOK_001_2020,ndvi_annual_std,filled_zero_single_obs,NaN,0.0
GOK_001_2021,ndvi_annual_std,filled_zero_single_obs,NaN,0.0
GOK_001_2022,ndvi_annual_std,filled_zero_single_obs,NaN,0.0
GOK_001_2023,ndvi_annual_std,filled_zero_single_obs,NaN,0.0
GOK_002_2019,ndvi_annual_std,filled_zero_single_obs,NaN,0.0
GOK_002_2020,ndvi_annual_std,filled_zero_single_obs,NaN,0.0
GOK_002_2021,ndvi_annual_std,filled_zero_single_obs,NaN,0.0
GOK_002_2022,ndvi_annual_std,filled_zero_single_obs,NaN,0.0
GOK_002_2023,ndvi_annual_std,filled_zero_single_obs,NaN,0.0
GOK_003_2019,ndvi_annual_std,filled_zero_single_obs,NaN,0.0
GOK_003_2020,ndvi_annual_std,filled_zero_single_obs,NaN,0.0
GOK_003_2021,ndvi_annual_std,filled_zero_single_obs,NaN,0.0
GOK_003_2022,ndvi_annual_std,filled_zero_single_obs,NaN,0.0
GOK_003_2023,ndvi_annual_std,filled_zero_single_obs,NaN,0.0
GOK_004_2019,ndvi_annual_std,filled_zero_single_obs,NaN,0.0
GOK_004_2020,ndvi_annual_std,filled_zero_single_obs,NaN,0.0
GOK_004_2021,ndvi_annual_std,filled_zero_single_obs,NaN,0.0
GOK_004_2022,ndvi_annual_std,filled_zero_single_obs,NaN,0.0
GOK_004_2023,ndvi_annual_std,filled_zero_single_obs,NaN,0.0
GOK_005_2019,ndvi_annual_std,filled_zero_single_obs,NaN,0.0
GOK_005_2020,ndvi_annual_std,filled_zero_single_obs,NaN,0.0
GOK_005_2021,ndvi_annual_std,filled_zero_single_obs,NaN,0.0
GOK_005_2022,ndvi_annual_std,filled_zero_single_obs,NaN,0.0
GOK_005_2023,ndvi_annual_std,filled_zero_single_obs,NaN,0.0
GOK_006_2019,ndvi_annual_std,filled_zero_single_obs,NaN,0.0
GOK_006_2020,ndvi_annual_std,filled_zero_single_obs,NaN,0.0
GOK_006_2021,ndvi_annual_std,filled_zero_single_obs,NaN,0.0
GOK_006_2022,ndvi_annual_std,filled_zero_single_obs,NaN,0.0
GOK_006_2023,ndvi_annual_std,filled_zero_single_obs,NaN,0.0
GOK_007_2019,ndvi_annual_std,filled_zero_single_obs,NaN,0.0
GOK_007_2020,ndvi_annual_std,filled_zero_single_obs,NaN,0.0
GOK_007_2021,ndvi_annual_std,filled_zero_single_obs,NaN,0.0
GOK_007_2022,ndvi_annual_std,filled_zero_single_obs,NaN,0.0
GOK_007_2023,ndvi_annual_std,filled_zero_single_obs,NaN,0.0
GOK_008_2019,ndvi_annual_std,filled_zero_single_obs,NaN,0.0
GOK_008_2020,ndvi_annual_std,filled_zero_single_obs,NaN,0.0
GOK_008_2021,ndvi_annual_std,filled_zero_single_obs,NaN,0.0
GOK_008_2022,ndvi_annual_std,filled_zero_single_obs,NaN,0.0
GOK_008_2023,ndvi_annual_std,filled_zero_single_obs,NaN,0.0
GOK_009_2019,ndvi_annual_std,filled_zero_single_obs,NaN,0.0
GOK_009_2020,ndvi_annual_std,filled_zero_single_obs,NaN,0.0
GOK_009_2021,ndvi_annual_std,filled_zero_single_obs,NaN,0.0
GOK_009_2022,ndvi_annual_std,filled_zero_single_obs,NaN,0.0
GOK_009_2023,ndvi_annual_std,filled_zero_single_obs,NaN,0.0
HUK_000_2019,ndvi_annual_std,filled_zero_single_obs,NaN,0.0
HUK_000_2020,ndvi_annual_std,filled_zero_single_obs,NaN,0.0
HUK_000_2021,ndvi_annual_std,filled_zero_single_obs,NaN,0.0
HUK_000_2022,ndvi_annual_std,filled_zero_single_obs,NaN,0.0
HUK_000_2023,ndvi_annual_std,filled_zero_single_obs,NaN,0.0
HUK_001_2019,ndvi_annual_std,filled_zero_single_obs,NaN,0.0
HUK_001_2020,ndvi_annual_std,filled_zero_single_obs,NaN,0.0
HUK_001_2021,ndvi_annual_std,filled_zero_single_obs,NaN,0.0
HUK_001_2022,ndvi_annual_std,filled_zero_single_obs,NaN,0.0
HUK_001_2023,ndvi_annual_std,filled_zero_single_obs,NaN,0.0
HUK_002_2019,ndvi_annual_std,filled_zero_single_obs,NaN,0.0
HUK_002_2020,ndvi_annual_std,filled_zero_single_obs,NaN,0.0
HUK_002_2021,ndvi_annual_std,filled_zero_single_obs,NaN,0.0
HUK_002_2022,ndvi_annual_std,filled_zero_single_obs,NaN,0.0
HUK_002_2023,ndvi_annual_std,filled_zero_single_obs,NaN,0.0
HUK_003_2019,ndvi_annual_std,filled_zero_single_obs,NaN,0.0
HUK_003_2020,ndvi_annual_std,filled_zero_single_obs,NaN,0.0
HUK_003_2021,ndvi_annual_std,filled_zero_single_obs,NaN,0.0
HUK_003_2022,ndvi_annual_std,filled_zero_single_obs,NaN,0.0
HUK_003_2023,ndvi_annual_std,filled_zero_single_obs,NaN,0.0
